EmployeeID,EmployeeName,Age,Gender,EducationLevel,ExperienceYears,DateOfJoining,Location,Department,Role,Manager,AppraisalScore(1-5),KPI_Achievement(%),BehaviourScore(1-5),3Yr_Avg_Performance,PotentialScore(1-5),GoalCompletionRate(%),ProjectsCompleted,Attendance(%),ProductivityIndex,ErrorRate(%),CustomerFeedback(1-5),CommunicationScore(1-5),TeamCollaboration(1-5),ProblemSolving(1-5),LeadershipScore(1-5),LearningAgility(1-5),SuccessorReadiness,CurrentSkillScore,RequiredSkillScore,SkillGapScore,TrainingHours,CertificationsCompleted,TrainingEffectiveness(1-5),AttritionRiskScore(1-5),EngagementScore(1-5),WorkLifeBalanceScore(1-5),PeerFeedback(1-5),ManagerFeedback(1-5),BaseSalary,Increment(%),Bonus(%),CriticalRole(Yes/No),Performance_Composite,Potential_Composite,Behavior_Composite,Skill_Composite,Risk_Composite,FinalScore,FinalScore_0_100,Performance_Category,Potential_Category,NineBox
E1099,Employee_99,52,Female,PhD,16.0,15-07-2008,East,Sales,Sales Executive,Singh,3.9,75,3.5,3.5,4,74,4,98,1.14,7.33,4.0,2.4,3.7,3.7,4.6,3.1,Ready in 1 Year,61,97,36,54,3,3.6,3,3.4,3.3,3.5,4.6,1285257,14.6,16.9,Yes,0.5081420411450219,0.49428571428571433,0.7321428571428572,0.3628747795414462,0.7273352137811673,0.5340181979583547,53.4,Medium,Medium,Medium-Medium
E1104,Employee_104,27,Other,Bachelors,14.9,04-06-2018,West,Sales,Sales Executive,Mehta,4.4,97,2.8,4.6,2,79,3,97,0.99,4.07,4.7,3.8,3.7,3.7,3.1,4.4,Ready in 3 Years,88,96,8,9,2,4.7,4,3.7,4.5,4.4,2.5,1738846,5.2,9.4,No,0.5942315517115221,0.45961904761904765,0.8392857142857143,0.3999118165784833,0.642262455507261,0.5735754965463916,57.36,Medium,Medium,Medium-Medium
E1111,Employee_111,52,Male,PhD,23.4,22-05-2010,South,Sales,Sales Executive,Mehta,3.6,93,2.6,3.7,5,55,6,96,1.16,9.71,3.7,4.1,2.2,3.3,2.3,3.8,Ready in 3 Years,66,72,6,46,3,4.1,3,3.1,3.7,3.2,4.5,1235783,7.1,13.8,Yes,0.5109986567760583,0.5617142857142856,0.6964285714285714,0.14726631393298062,0.5554284991365596,0.5198760904891208,51.99,Medium,Medium,Medium-Medium
E1123,Employee_123,47,Male,Masters,12.2,14-04-2005,East,Sales,Sales Executive,Rao,5.0,75,2.8,4.9,2,64,14,93,1.49,0.0,3.8,3.8,3.4,3.2,3.4,3.2,Ready in 3 Years,89,87,-2,21,0,4.9,1,2.5,2.8,3.6,2.3,322490,7.4,7.5,Yes,0.6694795549860205,0.3639047619047619,0.39285714285714285,0.21604938271604937,0.5578821605986292,0.48539086829594463,48.54,Medium,Low,Low-Medium
E1127,Employee_127,35,Male,Bachelors,2.2,06-07-2019,South,Sales,Sales Executive,Mehta,4.8,96,3.6,3.3,5,95,8,93,0.95,9.37,5.0,4.4,4.3,4.0,2.5,2.2,Ready in 1 Year,87,68,-19,46,4,4.8,2,4.8,2.3,2.9,4.0,403864,2.1,11.6,No,0.5943053087521633,0.5423809523809524,0.5178571428571428,0.6071428571428571,0.6176774608478868,0.5697131394004025,56.97,Medium,Medium,Medium-Medium
E1131,Employee_131,46,Female,Diploma,7.1,01-03-2014,South,Sales,Sales Executive,Rao,4.5,77,3.3,3.9,3,70,6,78,0.58,0.88,2.5,3.6,2.6,2.8,3.2,4.4,Ready in 3 Years,62,78,16,3,0,2.9,2,4.8,2.1,2.5,4.7,396502,13.6,21.2,Yes,0.46899919112893873,0.4526666666666667,0.25,0.40476190476190477,0.29667748694145324,0.4162097412748387,41.62,Medium,Medium,Medium-Medium
E1142,Employee_142,41,Other,Diploma,2.3,15-11-2017,West,Sales,Sales Executive,Joshi,4.7,85,4.8,3.6,3,95,17,87,1.33,1.9,4.8,3.7,2.9,3.3,2.9,4.2,Ready Now,43,77,34,54,1,3.1,4,4.4,3.8,3.0,3.6,525687,17.1,12.9,Yes,0.7442599197116658,0.46304761904761904,0.6607142857142857,0.39109347442680775,0.47061092310910396,0.598365290054231,59.84,High,Medium,Medium-High
E1145,Employee_145,31,Female,PhD,3.2,10-09-2006,South,Sales,Sales Executive,Mehta,2.8,90,3.8,3.9,5,91,13,71,0.88,6.17,4.9,4.2,4.8,4.3,3.8,2.6,Ready in 3 Years,53,73,20,10,0,3.8,1,3.2,2.8,2.4,4.2,984500,16.3,8.7,Yes,0.5287608020432529,0.6611428571428571,0.0,0.4691358024691358,0.32969317388025443,0.4732454169010847,47.32,Medium,Medium,Medium-Medium
E1197,Employee_197,34,Female,Diploma,16.1,17-11-2007,North,Sales,Sales Executive,Singh,4.6,72,3.3,4.4,3,80,17,80,1.3,4.77,2.4,2.7,4.8,4.6,4.1,3.4,Ready in 1 Year,56,93,37,33,2,4.3,2,4.4,2.6,2.6,4.0,1227476,6.5,22.1,Yes,0.5523968865647116,0.5025714285714284,0.2857142857142857,0.617283950617284,0.6429710990225179,0.5084642760673104,50.85,Medium,Medium,Medium-Medium
E1199,Employee_199,37,Male,PhD,7.3,22-05-2013,South,Sales,Sales Executive,Ahuja,3.6,61,3.0,3.7,3,77,5,78,0.51,0.75,3.6,4.6,2.0,4.8,2.3,4.5,Ready in 3 Years,41,61,20,1,2,3.4,3,3.4,4.5,4.3,3.5,1622014,16.3,5.1,No,0.4243220425315404,0.6221904761904762,0.375,0.16049382716049382,0.24898081096237776,0.4411343831339273,44.11,Medium,Medium,Medium-Medium
E1203,Employee_203,41,Male,Diploma,1.4,26-07-2013,South,Sales,Sales Executive,Ahuja,4.7,68,4.8,2.7,5,66,6,73,1.32,9.6,4.4,3.8,3.5,2.1,5.0,3.2,Ready in 3 Years,51,89,38,40,1,2.8,1,3.4,4.6,4.8,5.0,705732,17.4,10.3,Yes,0.6256495056759674,0.5920000000000001,0.03571428571428571,0.33906525573192237,0.5046758601573056,0.49235726370858734,49.24,Medium,Medium,Medium-Medium
E1207,Employee_207,40,Male,PhD,24.1,11-03-2006,West,Sales,Sales Executive,Mehta,4.0,93,2.7,4.7,2,100,9,96,1.12,1.32,4.3,2.8,4.7,4.5,3.0,4.4,Ready in 1 Year,72,91,19,18,1,4.9,2,2.6,3.5,2.7,3.2,1583644,7.0,14.7,Yes,0.6014664846649546,0.4300952380952381,0.5714285714285714,0.38315696649029984,0.5995905662774447,0.5236246759717411,52.36,Medium,Medium,Medium-Medium
E1217,Employee_217,53,Male,Diploma,13.1,08-12-2021,West,Sales,Sales Executive,Rao,4.6,92,3.2,4.5,3,75,1,73,0.75,8.84,3.7,2.6,2.7,3.5,4.9,4.3,Ready in 1 Year,69,77,8,30,3,3.6,1,4.4,2.2,3.1,3.5,1545874,19.2,23.6,Yes,0.42685501293322703,0.5293333333333333,0.03571428571428571,0.367283950617284,0.516509249741524,0.39745300557923824,39.75,Medium,Medium,Medium-Medium
E1221,Employee_221,38,Female,Masters,24.6,23-03-2018,South,Sales,Sales Executive,Joshi,2.8,86,2.6,3.6,5,90,2,92,0.76,1.65,4.1,3.5,2.6,3.0,3.8,2.2,Ready Now,66,95,29,58,5,3.7,3,4.4,2.6,2.3,4.2,1059848,13.2,5.8,No,0.4333979982658517,0.4856190476190477,0.625,0.3553791887125221,0.8008009655475092,0.4883728807406827,48.84,Medium,Medium,Medium-Medium
E1222,Employee_222,30,Female,Bachelors,1.8,16-10-2006,Central,Sales,Sales Executive,Joshi,4.4,67,3.8,3.8,3,59,1,98,0.79,2.67,4.8,2.5,3.7,3.7,4.2,3.5,Ready in 1 Year,56,89,33,10,2,2.9,1,3.7,4.2,2.4,4.6,347850,8.9,18.8,No,0.4850933238312051,0.4356190476190477,0.48214285714285715,0.3999118165784833,0.4600286772572324,0.4600370879103349,46.0,Medium,Medium,Medium-Medium
E1226,Employee_226,33,Male,Bachelors,24.8,27-12-2022,East,Sales,Sales Executive,Singh,3.1,77,3.6,3.1,2,51,1,76,1.41,5.67,3.1,3.1,3.2,4.2,3.4,4.6,Ready in 3 Years,81,72,-9,10,4,3.3,4,2.3,2.6,3.2,2.6,710789,11.0,18.2,Yes,0.362953064824504,0.4726666666666667,0.4642857142857143,0.1675485008818342,0.44481378604387733,0.3956196224630361,39.56,Low,Medium,Medium-Low
E1230,Employee_230,37,Other,PhD,16.4,17-09-2013,North,Sales,Sales Executive,Mehta,4.8,89,5.0,4.5,4,78,2,73,0.67,0.79,4.1,4.4,4.5,4.7,4.6,5.0,Ready in 3 Years,45,74,29,57,5,4.6,5,2.8,4.9,4.7,2.4,1500182,6.2,5.7,No,0.5632395448550886,0.8523809523809525,0.5357142857142857,0.38403880070546736,0.6847817508440841,0.6340102141262149,63.4,Medium,High,High-Medium
E1240,Employee_240,23,Female,Bachelors,1.5,22-09-2014,Central,Sales,Sales Executive,Rao,4.0,81,2.9,3.3,4,100,3,92,0.98,2.71,2.1,3.8,3.2,2.9,4.6,4.2,Ready in 3 Years,51,94,43,26,3,2.4,1,3.3,2.2,4.5,2.4,1440203,11.6,23.1,Yes,0.42402146112998207,0.6224761904761905,0.375,0.291005291005291,0.542304504647863,0.4688171959277722,46.88,Medium,Medium,Medium-Medium
E1243,Employee_243,50,Female,Diploma,11.2,12-07-2022,East,Sales,Sales Executive,Mehta,3.4,94,3.6,2.8,5,57,11,85,1.25,3.78,3.4,3.9,4.7,3.3,4.3,2.8,Ready in 3 Years,65,73,8,4,4,2.9,1,2.1,4.1,2.1,2.8,867327,19.3,9.9,Yes,0.4922094216538868,0.6123809523809524,0.25,0.32142857142857145,0.39848535402339264,0.47016517921986717,47.02,Medium,Medium,Medium-Medium
E1259,Employee_259,30,Other,PhD,14.7,17-07-2015,West,Sales,Sales Executive,Joshi,4.0,89,3.2,2.9,5,85,13,76,0.87,2.62,4.3,4.3,3.4,3.8,3.1,4.1,Ready in 3 Years,64,80,16,43,1,3.5,3,2.8,2.6,3.0,3.4,1017583,2.8,24.0,Yes,0.5927701853835912,0.6867619047619047,0.3392857142857143,0.2530864197530864,0.5000689019870036,0.5443415897995239,54.43,Medium,Medium,Medium-Medium
E1280,Employee_280,41,Male,Diploma,11.8,01-03-2022,South,Sales,Sales Executive,Mehta,2.8,62,3.5,4.6,2,75,3,88,0.73,7.44,3.6,4.4,4.3,2.6,4.1,4.4,Ready Now,43,73,30,13,5,4.9,4,3.4,3.1,3.7,2.6,1547880,13.3,13.4,No,0.2464853556995596,0.4957142857142858,0.6785714285714286,0.4343033509700176,0.5659011199273144,0.42081953337319133,42.08,Low,Medium,Medium-Low
E1282,Employee_282,25,Female,Diploma,19.7,06-04-2007,West,Sales,Sales Executive,Ahuja,3.1,60,2.7,4.1,2,58,9,81,1.16,7.32,3.1,4.5,2.1,4.3,2.8,3.4,Ready Now,46,71,25,42,1,2.5,3,4.0,3.6,3.5,2.8,1211995,8.6,17.3,Yes,0.33708218236057597,0.4718095238095238,0.4285714285714286,0.2464726631393298,0.35671892224159985,0.38314465679881476,38.31,Low,Medium,Medium-Low
E1284,Employee_284,46,Other,Masters,9.7,21-10-2008,East,Sales,Sales Executive,Joshi,4.5,77,3.9,3.5,2,97,2,93,0.75,7.19,3.8,4.7,2.2,2.5,4.4,3.1,Ready in 3 Years,46,71,25,14,1,3.2,2,4.1,2.3,3.2,4.5,1481426,1.1,5.9,Yes,0.4551498118804927,0.44590476190476197,0.5178571428571428,0.2707231040564374,0.31805745375557004,0.43648510784561934,43.65,Medium,Medium,Medium-Medium
